Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 5095,Super Luxury (Non AC Seater 2+2 Push Back),00:30,04:45,04h 15m,INR 398,33 Seats available,"1.8
9",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 5051,VENNELA (A.C. SLEEPER),00:30,04:50,04h 20m,INR 600,12 Seats available,"3.3
16",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 5091,Super Luxury (Non AC Seater 2+2 Push Back),00:50,05:05,04h 15m,INR 398,33 Seats available,"3.6
9",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 3870,VENNELA (A.C. SLEEPER),00:50,04:40,03h 50m,INR 749,23 Seats available,"4.5
11",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 35291,Super Luxury (Non AC Seater 2+2 Push Back),01:00,05:26,04h 26m,INR 398,32 Seats available, ,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 5027,Super Luxury (Non AC Seater 2+2 Push Back),01:30,05:45,04h 15m,INR 398,33 Seats available,"4.1
18",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 4021,Super Luxury (Non AC Seater 2+2 Push Back),01:45,07:20,05h 35m,INR 398,33 Seats available,"2.4
8",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 3872,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),02:00,05:40,03h 40m,INR 632,39 Seats available,"3.2
7",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 2637,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),02:40,06:50,04h 10m,INR 507,38 Seats available,"2.4
15",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 4019,Super Luxury (Non AC Seater 2+2 Push Back),03:15,08:35,05h 20m,INR 398,33 Seats available,"2.8
34",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
LUCKY TRAVELS,NON A/C Sleeper (2+1),00:09,05:20,05h 11m,INR 599,25 Seats available,"3.6
7",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
VEGA BUS,A/C Seater / Sleeper (2+1),01:00,07:00,06h 00m,475,23 Seats available,3.6,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
Rajesh Transports,Volvo 9600 Multi-Axle A/C Sleeper (2+1),01:10,06:00,04h 50m,INR 900,2 Seats available,4.0,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
ASHITHA TRAVELS,A/C Sleeper (2+1),01:10,05:05,03h 55m,759,16 Seats available,"3.2
12",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
LUCKY TRAVELS,A/C Sleeper (2+1),01:10,05:25,04h 15m,INR 649,28 Seats available,"3.0
7",https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,Tirupati to Bangalore
APSRTC - 51626,Super Luxury (Non AC Seater 2+2 Push Back),00:30,04:43,04h 13m,INR 344,34 Seats available,"3.7
23",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 51607,Super Luxury (Non AC Seater 2+2 Push Back),01:00,05:15,04h 15m,INR 344,34 Seats available,"3.8
11",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 51137,Super Luxury (Non AC Seater 2+2 Push Back),01:30,05:43,04h 13m,INR 344,32 Seats available,"3.9
24",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 6393,Super Luxury (Non AC Seater 2+2 Push Back),02:00,06:58,04h 58m,INR 344,27 Seats available,"4.3
23",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 51351,Super Luxury (Non AC Seater 2+2 Push Back),03:45,08:30,04h 45m,INR 344,33 Seats available,"4.1
101",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 6593,Super Luxury (Non AC Seater 2+2 Push Back),05:00,10:15,05h 15m,INR 344,32 Seats available,"3.4
82",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 6565,Super Luxury (Non AC Seater 2+2 Push Back),05:20,10:45,05h 25m,INR 344,34 Seats available,"3.4
20",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 6879,Super Luxury (Non AC Seater 2+2 Push Back),05:30,11:45,06h 15m,INR 376,28 Seats available,"3.8
46",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 51453,Super Luxury (Non AC Seater 2+2 Push Back),06:45,12:30,05h 45m,INR 344,33 Seats available,"4.2
15",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 9291,Super Luxury (Non AC Seater 2+2 Push Back),07:00,13:15,06h 15m,INR 376,32 Seats available,"4.3
22",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),14:30,17:45,03h 15m,INR 900,44 Seats available,"4.2
8",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
YAS TOURS AND TRAVELS,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),16:30,19:45,03h 15m,INR 900,33 Seats available,"3.2
17",https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
Moksha Travels,A/C Sleeper (2+1),17:00,23:45,06h 45m,INR 950,18 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),17:02,23:34,06h 32m,INR 700,32 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),17:45,00:30,06h 45m,INR 800,28 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool
APSRTC - 6521,Super Luxury (Non AC Seater 2+2 Push Back),00:05,04:25,04h 20m,INR 345,34 Seats available,3.4,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
APSRTC - 6437,Super Luxury (Non AC Seater 2+2 Push Back),00:10,04:00,03h 50m,INR 345,34 Seats available,"3.7
8",https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
APSRTC - 6603,Super Luxury (Non AC Seater 2+2 Push Back),00:10,05:05,04h 55m,INR 376,32 Seats available,"3.9
4",https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,Kurnool to Hyderabad
